protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
P39646,pta,0,0,0,0,1,0,0,0,0
P54375,sodA,0,0,0,0,0,0,0,-1,0
O32210,yvgN,0,0,0,-1,0,0,0,0,0
P32726,rimP,0,-1,0,0,0,0,0,0,0
O34588,ykuJ,0,-1,0,0,0,0,0,0,0
P13243,fbaA,0,-1,0,0,1,0,0,0,0
P40924,pgk,0,-1,0,0,0,1,0,0,0
P80860,pgi,0,0,0,0,1,0,0,0,0
P07343,fumC,0,-1,0,0,0,0,0,0,0
P49787,accC1,0,-1,0,0,0,0,0,0,0
P19669,tal,0,-1,0,0,0,0,1,0,0
P54547,zwf,0,-1,0,0,0,0,0,0,0
P37877,ackA,0,-1,0,0,1,1,0,0,0
O34962,ytsJ,0,-1,0,0,0,0,0,0,0
O34847,accA,0,0,0,0,0,0,0,0,1
P33166,tuf,0,-1,0,0,0,0,0,0,0
P37870,rpoB,0,-1,0,0,0,0,0,0,0
O34340,fabF,0,-1,0,0,1,0,0,0,0
P32081,cspB,0,0,0,0,1,0,0,0,0
P17889,infB,0,0,0,0,1,1,0,0,1
P08838,ptsI,0,-1,-1,0,0,0,0,0,0
O32038,aspS,0,-1,0,0,0,1,0,0,0
P34957,qoxA,0,0,0,0,1,0,0,0,1
P36430,leuS,0,-1,0,0,0,0,1,0,0
P37465,metG,0,-1,0,0,0,0,0,0,1
P80879,dps,0,-1,0,0,0,0,0,0,0
O06491,gatA,0,-1,0,0,0,1,0,0,0
P71019,fabD,0,0,1,0,1,0,0,1,0
P50849,pnp,0,-1,0,0,0,1,0,0,0
P13242,pyrG,0,-1,0,0,0,0,0,0,1
P45913,yqaP,0,-1,0,0,0,0,0,0,0
P46208,htpG,0,0,0,0,0,0,0,0,1
P32727,nusA,0,0,0,0,1,0,0,1,0
O32047,secDF,0,-1,0,0,0,0,0,0,1
O32039,hisS,0,0,1,0,0,0,0,1,1
P06224,sigA,0,0,0,0,0,0,0,0,0
O07542,yheA,0,0,0,0,0,0,0,0,0
P37464,serS,0,-1,0,0,0,0,0,0,0
P81101,frr,0,-1,0,0,0,0,0,0,0
