Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
I,AbrB-,gntK,BSU40060,0,-0.8,-1.8,-1.8,-2.1,-2.4,-2.5,-2.7,-3.1,1,1.9,0.5
I,AbrB-,gntP,BSU40070,0,-1.3,-2.3,-3.1,-3.5,-3.8,-4,-4.1,-4.4,0.6,1.5,-0.1
I,AbrB-,gntR,BSU40050,0,0.7,-0.2,-0.6,-0.8,-0.9,-1.2,-1,-1.3,2.3,3.1,1.9
I,AbrB-,gntZ,BSU40080,0,-2,-2.6,-2.3,-2.4,-3.1,-3.3,-3.2,-4.2,1.3,1.6,1.2
I,AbrB-,rbsA,BSU35940,0,-0.3,-2.5,-2.4,-1.4,-1.4,-1.7,-1.5,-2,-3.4,0.2,-4.2
I,AbrB-,rbsB,BSU35960,0,-0.5,-2.3,-2.4,-1.3,-1.5,-1.8,-1.6,-2.3,-3.3,0.4,-4.2
I,AbrB-,rbsC,BSU35950,0,-0.6,-2.6,-2.7,-1.6,-1.8,-1.9,-1.8,-2.4,-3.3,0.4,-4.3
I,AbrB-,rbsD,BSU35930,0,-0.3,-2.4,-2.2,-1.3,-1.3,-1.6,-1.3,-1.8,-3,0.2,-3.7
I,AbrB-,rbsK,BSU35920,0,-0.4,-2.1,-2.2,-1.5,-1.4,-1.4,-1.5,-1.9,-2.4,0.2,-3.1
I,AbrB-,rbsR,BSU35910,0,-0.2,-1.8,-2.3,-1.5,-1.6,-2.4,-1.8,-3.3,-2.2,0.5,-2.5
I,AbrB-,scoC,BSU09990,0,2.1,1.2,1.3,1,0.9,0.4,0.5,0.4,-1.6,-1.7,-1.8
J,ScoC+,appB,BSU11390,0,5.5,4.3,3.5,2.8,2.4,2.9,2.3,2.3,-1.8,-1.4,-1.6
J,ScoC+,appC,BSU11400,0,5.6,4.4,3.6,2.8,2.5,2.9,2.5,2.5,-1.5,-1.3,-1.4
J,ScoC+,appD,BSU11360,0,2.6,1.8,1.7,1.2,1.3,1,1.1,1.2,-4.4,-4.5,-4.4
J,ScoC+,appF,BSU11370,0,3.5,2.8,2.7,2.2,2.1,1.8,1.8,1.9,-3.9,-3.8,-4
J,ScoC+,flgM,BSU35430,0,0,0.5,-0.8,-0.5,-0.9,-1.3,-1.6,-1.7,-2.8,-2.8,-2.6
J,ScoC+,hag,BSU35360,0,0.2,0.1,-1.6,-1.1,-2,-2.2,-2,-2,-6.2,-4.8,-5.7
J,ScoC+,oppA,BSU11430,0,1.6,0.8,-0.5,-0.7,-1,-1.1,-0.7,-1.1,-4.1,-3.5,-4
J,ScoC+,oppB,BSU11440,0,1.6,0.4,-1.7,-2.4,-2.7,-3,-2.9,-3.4,-2.9,-2.1,-2.7
J,ScoC+,oppC,BSU11450,0,1.8,0.6,-1.5,-2.2,-2.6,-2.6,-2.4,-2.9,-2.7,-2,-2.5
J,ScoC+,oppD,BSU11460,0,1.9,0.7,-1.3,-1.9,-2.2,-2.3,-1.8,-2.7,-2.7,-2.2,-2.6
J,ScoC+,oppF,BSU11470,0,1.9,0.7,-1.4,-1.9,-2.1,-2,-1.9,-2.5,-2.6,-2.1,-2.4
J,ScoC+,phoP,BSU29110,0,0.9,0.2,1.4,1.5,1.5,0.8,0.6,0.7,-1,-0.7,-0.9
J,ScoC+,phoR,BSU29100,0,0.7,-0.2,1.2,1.2,1.2,0.8,0.6,0.6,-0.6,-0.6,-0.7
J,ScoC+,yclF,BSU03670,0,-0.7,-0.1,2.9,2.2,1.8,2.1,1.8,1.9,3.4,3,3
K,"ScoC+, AbrB+",nprE,BSU14700,0,1.8,0.5,-0.5,-1.3,-1.6,-1.6,-2.4,-2.2,-1.8,-0.7,-1.5
L,SinR+,lutA,BSU34050 ,0,0.6,0.2,0.3,-0.1,-0.1,-1.2,-0.7,-1.4,-1.8,-1,-1.5
L,SinR+,lutB,BSU34040 ,0,0.1,-0.1,0,-0.5,-0.4,-1.2,-0.9,-1.5,-1.9,-1.2,-1.6
L,SinR+,lutC,BSU34030 ,0,0.1,-0.4,-0.2,-0.6,-0.6,-0.9,-0.7,-1.1,-1.6,-1.4,-1.7
L,SinR+,yvgN,BSU33400,0,-0.3,-0.1,-1.3,-0.7,-1,-1.1,-0.7,-0.7,0.6,0.5,0.6
L,SinR+,ywbD ,BSU38360 ,0,0,-0.2,-0.7,-0.9,-0.7,-0.2,-0.7,-0.6,1.3,1,1.2
M,"SinR+, AbrB+",epsO,BSU34220,0,-1.1,0.3,0.6,-0.3,-2.3,-3.2,-3.4,-3.3,-3.1,-2.6,-2.8
M,"SinR+, AbrB+",sipW,BSU24630,0,-0.4,2,1.8,1.6,0.1,-2.2,-2,-1.4,-2.3,-2.1,-2.4
M,"SinR+, AbrB+",slrR,BSU34380,0,-0.2,0.5,1.9,1.7,1.3,0.6,0.1,0.3,-0.5,-0.7,-0.9
M,"SinR+, AbrB+",tapA,BSU24640,0,-0.6,1.4,1.3,1.4,-0.3,-1.8,-1.5,-0.9,-1.9,-2.1,-2.4
M,"SinR+, AbrB+",tasA,BSU24620,0,-0.9,1.5,1.9,1.8,0.3,-2.2,-3.4,-3.4,-4.4,-3.8,-4.5
N,"SinR+, AbrB+, SigH+",epsA,BSU34370,0,0.1,1.7,2.7,2.3,0.8,-1.9,-2.2,-2.1,-1.9,-1,-1.9
N,"SinR+, AbrB+, SigH+",epsB,BSU34360,0,0,1.8,2.7,2.1,1,-0.7,-1.6,-1.6,-1.8,-1.2,-1.8
N,"SinR+, AbrB+, SigH+",epsC,BSU34350,0,0,1.6,1.9,0.8,-0.4,-2,-2.2,-2.2,-1.4,-0.6,-1
N,"SinR+, AbrB+, SigH+",epsD,BSU34340,0,-0.5,1.1,1.5,0.5,-1.2,-2.8,-2.9,-3,-2,-1.3,-1.6
N,"SinR+, AbrB+, SigH+",epsE,BSU34330,0,-0.8,0.8,1.2,0.3,-1.5,-2.9,-3,-3.1,-2.2,-1.4,-1.8
N,"SinR+, AbrB+, SigH+",epsF,BSU34320,0,-1,0.4,0.8,-0.3,-1.8,-2.6,-2.7,-2.8,-2,-1.5,-1.7
N,"SinR+, AbrB+, SigH+",epsG,BSU34310,0,-1.1,0.1,0.5,-0.5,-2.1,-2.8,-3,-3,-2.1,-1.4,-1.8
N,"SinR+, AbrB+, SigH+",epsH,BSU34300,0,-1.3,0,0.5,-0.6,-2.2,-2.9,-3.1,-3.1,-2.4,-1.6,-2
N,"SinR+, AbrB+, SigH+",epsI,BSU34290,0,-1.4,0,0.3,-0.7,-2.3,-3.2,-3.5,-3.4,-2.7,-2,-2.4
N,"SinR+, AbrB+, SigH+",epsJ,BSU34280,0,-1.4,-0.2,0.2,-0.9,-2.4,-3.1,-3.4,-3.5,-2.7,-2,-2.3
N,"SinR+, AbrB+, SigH+",epsK,BSU34265,0,-1.4,-0.2,0,-1.2,-2.5,-3.1,-3.3,-3.4,-2.6,-1.9,-2.3
N,"SinR+, AbrB+, SigH+",epsL,BSU34250,0,-1.4,0.1,0.2,-1,-2.5,-3.1,-3.3,-3.3,-2.7,-2,-2.5
N,"SinR+, AbrB+, SigH+",epsM,BSU34240,0,-1.3,0.2,0.5,-0.6,-2.2,-3,-2.9,-2.9,-2.9,-2.4,-2.5
N,"SinR+, AbrB+, SigH+",epsN,BSU34230,0,-1.2,0.3,0.5,-0.5,-2.3,-3.1,-3.4,-3.3,-3,-2.4,-2.7
N,"SinR+, AbrB+, SigH+",spoVG,BSU00490,0,1.1,1.1,1,1,0.7,0.1,0.8,0.4,-4.4,-3.9,-4.1
O,"SigH+, AbrB+",cwlS,BSU19410,0,0.6,1.5,-0.1,-0.5,-1.6,-2.9,-3.1,-4.1,-4.1,-3.5,-3.7
O,"SigH+, AbrB+",phrE,BSU25840,0,0.8,1.5,1.1,1.2,0.5,0.4,0.8,0.8,-2.4,-2.2,-2.5
O,"SigH+, AbrB+",phrK,BSU18920,0,0.6,1.9,0.8,1,0.3,-1.1,0.2,-1.2,-4.4,-4.1,-4.2
O,"SigH+, AbrB+",rapK,BSU18910,0,1.9,1.6,0.5,-0.1,-1.1,-2.5,-0.8,-1.2,-3.1,-2.9,-3.2
O,"SigH+, AbrB+",sigH,BSU00980,0,0.9,1,-0.1,-0.3,-0.8,-2.1,-1.3,-2.2,-0.7,-0.5,-0.6
