Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
B,SigF+,yisN,BSU10780,0,0,0.3,4.2,4.3,3.4,3.3,3.8,3,-0.1,0.1,0.1
B,SigF+,yjbA,BSU11410,0,3.3,2.1,5.9,5.8,5.2,4.8,5,4.7,-0.5,-0.3,-0.2
B,SigF+,ykuS,BSU14200,0,-0.5,-0.7,2,3,2.8,2.3,2.8,2.4,-0.3,-0.5,-0.1
B,SigF+,ylbB,BSU14950,0,0.1,0.6,3.4,3.4,2.6,2.5,2.8,2.5,1.2,1.1,1.5
B,SigF+,ylbC,BSU14960,0,0.2,0.6,3.4,3.4,2.8,2.6,2.9,2.3,1.4,1,1.4
B,SigF+,ypfB,BSU22900,0,0.6,-0.4,2.3,3.4,3.5,3,3.3,3.3,1,0.7,1
B,SigF+,yphA,BSU22860,0,0.4,-0.1,3.6,3.7,2.6,3.5,3.8,3.6,1.3,1.2,1.3
B,SigF+,yqcK,BSU25800,0,-0.6,-0.9,2.4,2.2,1.6,2.1,1.7,2.1,0.3,0.3,0.6
B,SigF+,yqhG,BSU24590,0,-0.5,-0.8,2.9,3,2.5,2.6,2.8,2.7,-0.1,-0.1,-0.3
B,SigF+,yqhH,BSU24580,0,-0.3,0,4.8,4.9,4.3,4.5,4.6,4.5,-0.2,-0.3,-0.2
B,SigF+,yqhQ,BSU24490,0,-1,0,1.5,1.5,1.1,1.3,1.4,1.2,-0.2,-0.4,-0.4
B,SigF+,yqzG,BSU24650,0,-0.2,0.4,5.5,6.2,6,5.7,5.7,5.8,-0.2,-0.5,-0.2
B,SigF+,yrzK,BSU27570,0,0.2,0.3,4.2,5.6,5.8,5.4,5.6,5.7,1.5,1.2,1.6
B,SigF+,ytfI,BSU29510,0,-0.5,0.2,4.9,4.6,3.7,3.7,3.7,3.1,0.2,0.3,0.3
B,SigF+,ytfJ,BSU29500,0,-0.8,0.5,6.4,7,6.9,6.3,6.5,6.5,0.3,0.2,0.1
B,SigF+,yuiC,BSU32070,0,1,1.4,4.5,4.5,4.2,3.4,3.9,3.9,1,0.7,0.9
B,SigF+,yusW,BSU32950,0,1.2,1,3.4,4.5,4.6,4.1,4.4,4.5,0.2,0.1,0.1
B,SigF+,ywnF,BSU36580,0,0.9,1.2,2.5,2.3,2.9,3.7,3.5,3.2,0.9,0.8,1.1
B,SigF+,ywnJ,BSU36540,0,0.7,0,3.2,2.6,1.2,2.4,1.8,0.7,0.6,1.2,1.1
B,SigF+,yyaC,BSU40950,0,-0.9,0.7,4.7,4.8,4.5,4.4,4.2,4.5,-1,-0.7,-0.5
