geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
artM,BSU23960,,yqiZ,,,
artQ,BSU23970,,yqiY,,,
artP,BSU23980,,yqiX,,,
yqiW,BSU23990,,,,,
bmrU,BSU24000,,,,,
bmr,BSU24010,,bmr1,,,
bmrR,BSU24020,,bmr1R,,,
bfmBB,BSU24030,,bfmB,bfmB2,,
bfmBAB,BSU24040,,bfmB1b,,,
bfmBAA,BSU24050,,bfmB1a,,,
bfmBC,BSU24060,,yqiV,,,
buk,BSU24070,,yqiU,,,
yqiT,BSU24080,,,,,
yqiS,BSU24090,,,,,
yqiR,BSU24100,,,,,
yqzF,BSU24110,,,,,
mmgF,BSU24120,,prpB,yqiQ,,
mmgE,BSU24130,,prpD,yqiP,,
mmgD,BSU24140,,yqiO,,,
mmgC,BSU24150,,yqiN,,,
mmgB,BSU24160,,yqiM,,,
mmgA,BSU24170,,yqiL,,,
yqiK,BSU24180,,,,,
yqiI,BSU24190,,,,,
yqiH,BSU24200,,yzpA,,,
yqiG,BSU24210,,,,,
spo0A,BSU24220,,spo0C,spo0G,,
spoIVB,BSU24230,,,,,
recN,BSU24240,,,,,
argR,BSU24250,,ahrC,,,
yqxC,BSU24260,,yqiF,,,
dxs,BSU24270,,yqiE,,,
ispA,BSU24280,,yqiD,,,
xseB,BSU24290,,yqiC,,,
xseA,BSU24300,,yqiB,,,
folD,BSU24310,,yqiA,,,
nusB,BSU24320,,yqhZ,,,
yqhY,BSU24330,,,,,
accC1,BSU24340,,accC,yqhX,,
accB,BSU24350,,fabE,yqhW,,
spoIIIAH,BSU24360,,,,,
spoIIIAG,BSU24370,,,,,
spoIIIAF,BSU24380,,,,,
spoIIIAE,BSU24390,,,,,
spoIIIAD,BSU24400,,,,,
spoIIIAC,BSU24410,,,,,
spoIIIAB,BSU24420,,,,,
spoIIIAA,BSU24430,,,,,
yqhV,BSU24440,,yqgE,,,
efp,BSU24450,,yqgF,yqhU,,
yqhT,BSU24460,,,,,
yqhS,BSU24470,,,,,
yqhR,BSU24480,,,,,
yqhQ,BSU24490,,,,,
yqhP,BSU24500,,,,,
yqhO,BSU24510,,,,,
mntR,BSU24520,,yqhN,,,
lipM,BSU24530,,yqhM,,,
yqhL,BSU24540,,,,,
gcvPB,BSU24550,,yqhK,,,
gcvPA,BSU24560,,yqhJ,,,
gcvT,BSU24570,,yqhI,,,
yqhH,BSU24580,,,,,
yqhG,BSU24590,,,,,
sinI,BSU24600,,,,,
sinR,BSU24610,,flaD,sin,,
tasA,BSU24620,,cotN,yqhF,,
sipW,BSU24630,,yqhE,,,
tapA,BSU24640,,yqhD,yqxM,,
yqzG,BSU24650,,,,,
yqzE,BSU24660,,,,,
comGG,BSU24670,,comG7,,,
comGF,BSU24680,,comG6,,,
comGE,BSU24690,,comG5,,,
comGD,BSU24700,,comG4,,,
comGC,BSU24710,,comG3,,,
comGB,BSU24720,,comG2,,,
comGA,BSU24730,,comG1,,,
corA,BSU24740,,yqhC,yqxL,,
yqhB,BSU24750,,,,,
rsbRD,BSU24760,,yqhA,,,
mgsR,BSU24770,,yqgZ,,,
yqgY,BSU24780,,,,,
yqgX,BSU24790,,,,,
yqgW,BSU24800,,,,,
yqgV,BSU24810,,,,,
yqgU,BSU24820,,,,,
yqgT,BSU24830,,,,,
yqgS,BSU24840,,,,,
glcK,BSU24850,,yqgR,,,
yqgQ,BSU24860,,,,,
gluP,BSU24870,,yqgP,,,
yqgO,BSU24880,,,,,
yqgN,BSU24890,,,,,
rpmGA,BSU24900,,rpmG1,,,
yqgM,BSU24910,,,,,
yqgL,BSU24920,,,,,
yqzD,BSU24930,,,,,
yqzC,BSU24940,,,,,
pstB1,BSU24950,,pstBB,yqgK,yzmF,
pstB2,BSU24960,,pstBA,yqgJ,yzmE,
yqgI,BSU24970,,yzmD,,,
yqgH,BSU24980,,yzmC,,,
pstS,BSU24990,,yqgG,yzmB,,
pbpA,BSU25000,,yqgF,,,
yqgE,BSU25010,,,,,
sodA,BSU25020,,yqgD,,,
yqgC,BSU25030,,,,,
yqgB,BSU25040,,,,,
yqgA,BSU25050,,,,,
yqfZ,BSU25060,,,,,
ispG,BSU25070,,yqfY,,,
yqfX,BSU25080,,,,,
yqfW,BSU25090,,,,,
zur,BSU25100,,yqfV,,,
yqfU,BSU25110,,,,,
yqfT,BSU25120,,,,,
nfo,BSU25130,,yqfS,,,
cshB,BSU25140,,yqfR,,,
yqfQ,BSU25150,,,,,
ispH,BSU25160,,yqfP,,,
yqfO,BSU25170,,,,,
trmK,BSU25180,,yqfN,,,
cccA,BSU25190,,,,,
sigA,BSU25200,,rpoD,,,
dnaG,BSU25210,,dnaE,,,
antE,BSU25220,,,,,
yqxD,BSU25230,,yqfM,,,
yqfL,BSU25240,,,,,
ccpN,BSU25250,,yqzB,,,
glyS,BSU25260,,yqfK,,,
glyQ,BSU25270,,yqfJ,,,
recO,BSU25280,,yqfI,yqxN,,
yqzL,BSU25289,,,,,
era,BSU25290,,bex,yqfH,,
cdd,BSU25300,,,,,
dgkA,BSU25310,,dgk,yqxF,,
ybeY,BSU25320,,yqfG,,,
pgpH,BSU25330,,yqfF,,,
phoH,BSU25340,,yqfE,,,
yqfD,BSU25350,,,,,
yqfC,BSU25360,,,,,
yqfB,BSU25370,,,,,
yqfA,BSU25380,,,,,
yqeZ,BSU25390,,,,,
yqeY,BSU25400,,,,,
rpsU,BSU25410,,yqeX,,,
yqeW,BSU25420,,,,,
mtaB,BSU25430,,tmtB,yqeV,,
rsmE,BSU25440,,yqeU,,,
prmA,BSU25450,,yqeT,,,
dnaJ,BSU25460,,,,,
dnaK,BSU25470,,,,,
grpE,BSU25480,,,,,
hrcA,BSU25490,,yqeS,yqxE,,
hemW,BSU25500,,hemN,yqeR,,
lepA,BSU25510,,yqeQ,yqxB,,
yqxA,BSU25520,,yqeP,,,
spoIIP,BSU25530,,,,,
gpr,BSU25540,,,,,
rpsT,BSU25550,,yqeO,,,
yqeN,BSU25560,,,,,
yqzM,BSU25569,,,,,
comEC,BSU25570,,comE3,,,
comEB,BSU25580,,comE2,,,
comEA,BSU25590,,comE1,,,
comER,BSU25600,,comE4,comED,,
yqeM,BSU25610,,,,,
rsfS,BSU25620,,yqeL,,,
yqeK,BSU25630,,,,,
nadD,BSU25640,,yqeJ,,,
yqeI,BSU25650,,,,,
aroE,BSU25660,,aroD,,,
yqeH,BSU25670,,,,,
yqeG,BSU25680,,,,,
sda,BSU25690,,,,,
yqeF,BSU25700,,,,,
cwlH,BSU25710,,yqeE,,,
yqeD,BSU25720,,,,,
yqeC,BSU25730,,,,,
yqeB,BSU25740,,,,,
nucB,BSU25750,,,,,
sigK,BSU26390,BSU25760,cisB,spoIIIC,spoIVCB,
cisA,BSU25770,,spoIVCA,,,
arsC,BSU25780,,yqcM,,,
arsB,BSU25790,,yqcL,,,
yqcK,BSU25800,,,,,
arsR,BSU25810,,yqcJ,,,
yqcI,BSU25820,,,,,
rapE,BSU25830,,yqcH,,,
phrE,BSU25840,,,,,
yqzI,BSU25850,,,,,
yqcG,BSU25860,,,,,
yqcF,BSU25870,,,,,
yqxJ,BSU25880,,yqdF,,,
yqxI,BSU25890,,yqdE,,,
cwlA,BSU25900,,,,,
yqxH,BSU25910,,yqdD,,,
yqxG,BSU25920,,yqdC,,,
yqcE,BSU25930,,,,,
yqcD,BSU25940,,,,,
yqcC,BSU25950,,,,,
yqcB,BSU25960,,,,,
yqcA,BSU25970,,,,,
yqbT,BSU25980,,,,,
yqbS,BSU25990,,,,,
yqbR,BSU26000,,,,,
yqbQ,BSU26010,,,,,
yqbP,BSU26020,,,,,
yqbO,BSU26030,,,,,
yqbN,BSU26040,,,,,
txpA,BSU26050,,yqcR,yqdB,,
yqbM,BSU26060,,,,,
yqbK,BSU26080,,yqbL,,,
yqzN,BSU26089,,,,,
yqbJ,BSU26090,,,,,
yqbI,BSU26100,,,,,
yqbH,BSU26110,,,,,
yqbG,BSU26120,,,,,
yqbF,BSU26130,,,,,
yqbE,BSU26140,,,,,
yqbD,BSU26150,,,,,
yqbC,BSU26160,,,,,
yqbB,BSU26170,,,,,
yqbA,BSU26180,,,,,
yqaT,BSU26190,,,,,
yqaS,BSU26200,,,,,
yqaR,BSU26210,,,,,
yqaQ,BSU26220,,,,,
yqaP,BSU26230,,,,,
yqaO,BSU26240,,,,,
yqaN,BSU26250,,,,,
yqzO,BSU26259,,,,,
yqaM,BSU26260,,,,,
yqaL,BSU26270,,,,,
yqaK,BSU26280,,,,,
yqaJ,BSU26290,,,,,
yqaI,BSU26300,,,,,
yqaH,BSU26310,,,,,
yqaG,BSU26320,,,,,
yqdA,BSU26330,,yqcS,,,
yqaF,BSU26340,,,,,
yqaE,BSU26350,,,,,
yqaD,BSU26360,,,,,
yqaC,BSU26370,,,,,
yqaB,BSU26380,,,,,
yrkS,BSU26400,,,,,
psiE,BSU26410,,yrkR,,,
yrkQ,BSU26420,,,,,
yrkP,BSU26430,,,,,
yrkO,BSU26440,,,,,
yrkN,BSU26450,,,,,
yrkL,BSU26470,,,,,
yrkK,BSU26480,,,,,
yrkJ,BSU26490,,,,,
yrkI,BSU26500,,,,,
yrkH,BSU26510,,,,,
yrkF,BSU26530,,,,,
yrkE,BSU26540,,,,,
yrkD,BSU26550,,,,,
yrkC,BSU26560,,,,,
yrkB,BSU26570,,,,,
bltR,BSU26580,,bmr2R,bmtR,,
blt,BSU26590,,bmr2,bmt,,
bltD,BSU26600,,bmr2D,bmtD,,
yrkA,BSU26610,,,,,
yrzO,BSU26619,,,,,
yrdR,BSU26620,,,,,
czcR,BSU26630,,czcD,yrdQ,,
czcO,BSU26640,,trkA,yrdP,,
czcD,BSU26650,,yrdO,,,
yrdN,BSU26660,,,,,
gltR,BSU26670,,yrdL,,,
yrdK,BSU26680,,,,,
brnQ,BSU26690,,yrdJ,,,
azlD,BSU26700,,yrdI,,,
azlC,BSU26710,,yrdH,,,
azlB,BSU26720,,yrdG,,,
yrdF,BSU26730,,,,,
cypA,BSU26740,,CYP107J1,yrdE,,
yrdC,BSU26760,,,,,
yrdB,BSU26770,,,,,
yrdA,BSU26780,,,,,
aadK,BSU26790,,,,,
yrpB,BSU26800,,,,,
yrpC,BSU26810,,,,,
yrpD,BSU26820,,,,,
yrpE,BSU26830,,,,,
sigZ,BSU26840,,,,,
yrpG,BSU26850,,,,,
yraO,BSU26860,,,,,
yraN,BSU26870,,,,,
yraM,BSU26880,,,,,
csn,BSU26890,,,,,
yraL,BSU26900,,,,,
yraK,BSU26910,,,,,
yraJ,BSU26920,,,,,
yraI,BSU26930,,,,,
yraH,BSU26940,,,,,
yraG,BSU26950,,,,,
yraF,BSU26960,,,,,
adhB,BSU26970,,,,,
yraE,BSU26980,,,,,
yraD,BSU26990,,,,,
adhR,BSU27000,,yraB,,,
adhA,BSU27010,,,,,
yraA,BSU27020,,,,,
sacC,BSU27030,,,,,
levG,BSU27040,,,,,
levF,BSU27050,,,,,
levE,BSU27060,,sacL,,,
levD,BSU27070,,sacL,,,
levR,BSU27080,,,,,
aapA,BSU27090,,,,,
yrhP,BSU27100,,,,,
yrhO,BSU27110,,,,,
sigV,BSU27120,,,,,
rsiV,BSU27130,,yrhM,,,
yrhL,BSU27140,,,,,
yrhK,BSU27150,,,,,
cypB,BSU27160,,cyp102A3,yrhJ,,
fatR,BSU27170,,bscR,yrhI,,
yrhH,BSU27180,,,,,
yrzI,BSU27190,,,,,
yrhG,BSU27200,,,,,
yrhF,BSU27210,,,,,
yrhE,BSU27220,,,,,
yrhD,BSU27230,,,,,
yrhC,BSU27240,,,,,
mccB,BSU27250,,yrhB,,,
mccA,BSU27260,,yrhA,,,
mtnN,BSU27270,,mtn,pfs,,
yrrT,BSU27280,,,,,
yrzA,BSU27290,,,,,
yrrS,BSU27300,,,,,
pbpI,BSU27310,,yrrR,,,
greA,BSU27320,,,,,
udk,BSU27330,,,,,
trhP1,BSU27340,,yrrO,,,
trhP2,BSU27350,,yrrN,,,
trmR,BSU27360,,yrrM,,,
mltG,BSU27370,,yrrL,,,
yrzB,BSU27380,,,,,
yrrK,BSU27390,,yqgf,,,
yrzL,BSU27400,,,,,
alaS,BSU27410,,,,,
yrrI,BSU27420,,,,,
glnQ,BSU27430,,,,,
glnH,BSU27440,,,,,
glnM,BSU27450,,,,,
glnP,BSU27460,,,,,
yrzQ,BSU27468,,,,,
yrzR,BSU27469,,,,,
yrrD,BSU27470,,,,,
yrrC,BSU27480,,recD2,,,
yrrB,BSU27490,,,,,
mnmA,BSU27500,,trmU,yrrA,,
iscS1,BSU27510,,yrvO,,,
cymR,BSU27520,,yrzC,,,
yrvN,BSU27530,,,,,
tcdA,BSU27540,,yrvM,,,
aspS,BSU27550,,,,,
hisS,BSU27560,,,,,
yrzK,BSU27570,,,,,
yrvJ,BSU27580,,,,,
dtd,BSU27590,,yrvI,,,
relA,BSU27600,,,,,
apt,BSU27610,,,,,
recJ,BSU27620,,yrvE,,,
yrvD,BSU27630,,,,,
yrvC,BSU27640,,,,,
secDF,BSU27650,,,,,
comN,BSU27660,,yrzD,,,
spoVB,BSU27670,,spoIIIF,,,
yrbG,BSU27680,,,,,
yrzE,BSU27690,,,,,
yrbF,BSU27700,,yjaC,,,
tgt,BSU27710,,,,,
queA,BSU27720,,,,,
yrzS,BSU27729,,,,,
ruvB,BSU27730,,,,,
ruvA,BSU27740,,,,,
bofC,BSU27750,,,,,
csbX,BSU27760,,,,,
yrbE,BSU27770,,,,,
yrzF,BSU27785,,,,,
yrzH,BSU27800,,,,,
yrzT,BSU27809,,,,,
yrbD,BSU27810,,,,,
yrbC,BSU27820,,,,,
coxA,BSU27830,,yrbB,,,
safA,BSU27840,,yrbA,,,
nadA,BSU27850,,,,,
nadC,BSU27860,,yrxB,,,
nadB,BSU27870,,,,,
nifS,BSU27880,,iscS,,,
nadR,BSU27890,,niaR,yrxA,,
pheA,BSU27900,,,,,
yszB,BSU27910,,pheB,,,
obg,BSU27920,,,,,
spo0B,BSU27930,,spo0D,,,
rpmA,BSU27940,,,,,
ysxB,BSU27950,,,,,
rplU,BSU27960,,,,,
spoIVFB,BSU27970,,bofB,,,
spoIVFA,BSU27980,,bofB,,,
minD,BSU27990,,divIVB,,,
minC,BSU28000,,,,,
mreD,BSU28010,,rodB,,,
mreC,BSU28020,,,,,
mreB,BSU28030,,,,,
ysxA,BSU28040,,,,,
maf,BSU28050,,,,,
spoIIB,BSU28060,,,,,
comC,BSU28070,,,,,
folC,BSU28080,,,,,
valS,BSU28090,,,,,
yszA,BSU28099,,,,,
ysxE,BSU28100,,,,,
spoVID,BSU28110,,,,,
hemL,BSU28120,,hemK,,,
hemB,BSU28130,,,,,
hemD,BSU28140,,,,,
hemC,BSU28150,,,,,
hemX,BSU28160,,,,,
hemA,BSU28170,,,,,
ysxD,BSU28180,,,,,
engB,BSU28190,,ysxC,,,
lon1,BSU28200,,lonA,,,
lon2,BSU28210,,lonB,ysxF,,
clpX,BSU28220,,,,,
tig,BSU28230,,yzzH,,,
ysoA,BSU28240,,,,,
leuD,BSU28250,,,,,
leuC,BSU28260,,,,,
leuB,BSU28270,,leuC,,,
leuA,BSU28280,,,,,
ilvC,BSU28290,,,,,
ilvH,BSU28300,,ilvN,,,
ilvB,BSU28310,,,,,
ysnD,BSU28320,,,,,
ysnE,BSU28330,,,,,
ysnF,BSU28340,,,,,
ysnB,BSU28350,,,,,
ysnA,BSU28360,,,,,
rph,BSU28370,,,,,
gerM,BSU28380,,,,,
racE,BSU28390,,glr,murI,,
ysmB,BSU28400,,,,,
gerE,BSU28410,,,,,
ysmA,BSU28420,,,,,
sdhB,BSU28430,,,,,
sdhA,BSU28440,,citF,,,
sdhC,BSU28450,,,,,
yslB,BSU28460,,,,,
lysC,BSU28470,,,,,
ask,BSU28480,,aecA,,,
uvrC,BSU28490,,,,,
trxA,BSU28500,,trx,,,
abf2,BSU28510,,asd,xsa,,
etfA,BSU28520,,,,,
etfB,BSU28530,,,,,
fadB,BSU28540,,ysiB,,,
fadR,BSU28550,,ysiA,,,
lcfA,BSU28560,,,,,
yshE,BSU28570,,,,,
mutSB,BSU28580,,mutS2,yshD,,
polX,BSU28590,,yshC,,,
yshB,BSU28600,,,,,
zapA,BSU28610,,yshA,,,
rnhC,BSU28620,,ysgB,,,
pheT,BSU28630,,,,,
pheS,BSU28640,,,,,
ysgA,BSU28650,,,,,
sspI,BSU28660,,ysfA,,,
ysfB,BSU28670,,,,,
glcD,BSU28680,,ysfC,,,
glcF,BSU28690,,ysfD,,,
ysfE,BSU28700,,,,,
cstA,BSU28710,,,,,
abfA,BSU28720,,,,,
araQ,BSU28730,,yseE,,,
araP,BSU28740,,yseD,,,
araN,BSU28750,,yseC,,,
egsA,BSU28760,,araM,yseB,,
araL,BSU28770,,yseA,,,
araD,BSU28780,,,,,
araB,BSU28790,,,,,
araA,BSU28800,,,,,
abnA,BSU28810,,,,,
ysdC,BSU28820,,,,,
ysdB,BSU28830,,,,,
ysdA,BSU28840,,,,,
rplT,BSU28850,,,,,
rpmI,BSU28860,,,,,
infC,BSU28870,,,,,
yscB,BSU28890,,,,,
lrgB,BSU28900,,ysbB,,,
lrgA,BSU28910,,ysbA,,,
lytT,BSU28920,,,,,
lytS,BSU28930,,,,,
serB,BSU28940,,ysaA,,,
thrS,BSU28950,,thrSV,,,
ytxC,BSU28960,,,,,
ytxB,BSU28970,,,,,
dnaI,BSU28980,,ytxA,,,
dnaB,BSU28990,,,,,
nrdR,BSU29000,,ytcG,,,
speH,BSU29010,,speD,ytcF,,
gapB,BSU29020,,,,,
ytcD,BSU29030,,,,,
ytbD,BSU29040,,,,,
ytbE,BSU29050,,,,,
coaE,BSU29060,,ytaG,,,
ytaF,BSU29070,,,,,
mutM,BSU29080,,fpg,ytaE,,
polA,BSU29090,,,,,
phoR,BSU29100,,,,,
phoP,BSU29110,,,,,
mdh,BSU29120,,citH,,,
icd,BSU29130,,citC,,,
citZ,BSU29140,,citA2,,,
ytwI,BSU29150,,,,,
ytvI,BSU29160,,,,,
ytzA,BSU29170,,,,,
pyk,BSU29180,,pykA,,,
pfkA,BSU29190,,pfk,,,
accA,BSU29200,,,,,
accD,BSU29210,,yttI,,,
ytsJ,BSU29220,,,,,
dnaE,BSU29230,,,,,
ytrH,BSU29239,,spoVIGA,,,
ytrI,BSU29240,,,,,
ytzJ,BSU29249,,,,,
nrnA,BSU29250,,ytqI,,,
ytpI,BSU29260,,,,,
ytoI,BSU29270,,yodW,,,
ytnM,BSU29280,,,,,
ytnL,BSU29290,,,,,
ribR,BSU29300,,ytnK,,,
moxC,BSU29310,,ytnJ,,,
ytnI,BSU29320,,,,,
ytmO,BSU29330,,,,,
tcyN,BSU29340,,ytmN,,,
tcyM,BSU29350,,ytmM,,,
tcyL,BSU29360,,ytmL,,,
tcyK,BSU29370,,ytmK,,,
tcyJ,BSU29380,,ytmJ,,,
ytmI,BSU29390,,,,,
ytlI,BSU29400,,,,,
ytkL,BSU29410,,,,,
ytkK,BSU29420,,,,,
ytzD,BSU29430,,,,,
argH,BSU29440,,,,,
argG,BSU29450,,,,,
moaB,BSU29460,,,,,
ackA,BSU29470,,,,,
ytxK,BSU29480,,ythI,,,
tpx,BSU29490,,ytgI,,,
ytfJ,BSU29500,,,,,
ytfI,BSU29510,,,,,
yteJ,BSU29520,,,,,
sppA,BSU29530,,yteI,,,
nadK2,BSU29540,,,,,
ytcJ,BSU29550,,,,,
ytcI,BSU29560,,,,,
sspA,BSU29570,,,,,
thiI,BSU29580,,ytbJ,,,
iscS2,BSU29590,,nifS2,,,
braB,BSU29600,,,,,
ezrA,BSU29610,,ytwP,,,
hisK,BSU29620,,hisJ,,,
yttP,BSU29630,,,,,
ytsP,BSU29640,,,,,
ytrP,BSU29650,,,,,
rpsD,BSU29660,,,,,
tyrS1,BSU29670,,,,,
acsA,BSU29680,,,,,
acuA,BSU29690,,,,,
acuB,BSU29700,,,,,
acuC,BSU29710,,,,,
ytxE,BSU29720,,,,,
ytxD,BSU29730,,,,,
ccpA,BSU29740,,alsA,amyR,graR,
aroA,BSU29750,,,,,
ytxJ,BSU29760,,,,,
ytxH,BSU29770,,,,,
ytxG,BSU29780,,,,,
murC,BSU29790,,ytxF,,,
sftA,BSU29805,,ytpS,ytpT,,
ytpR,BSU29820,,,,,
ytpQ,BSU29830,,,,,
ytpP,BSU29840,,,,,
ytoQ,BSU29850,,,,,
ytoP,BSU29860,,,,,
ytzB,BSU29870,,,,,
malS,BSU29880,,,,,
ytnP,BSU29890,,,,,
trmB,BSU29900,,ytmQ,,,
ytzH,BSU29910,,,,,
ytmP,BSU29920,,,,,
amyX,BSU29930,,,,,
ytlR,BSU29940,,,,,
ytlQ,BSU29950,,,,,
ytlP,BSU29960,,,,,
ytkP,BSU29970,,,,,
ytjP,BSU29980,,,,,
pbuO,BSU29990,,ytiP,,,
ythQ,BSU30000,,,,,
ythP,BSU30010,,,,,
ytzE,BSU30020,,,,,
ytzG,BSU30035,,ytzF,,,
murJ,BSU30050,,ytgP,,,
ytfP,BSU30060,,,,,
opuD,BSU30070,,ytfQ,,,
cse60,BSU30080,,yteV,,,
yteU,BSU30090,,,,,
yteT,BSU30100,,,,,
yteS,BSU30110,,,,,
yteR,BSU30120,,,,,
yteP,BSU30135,,yteQ,,,
ytdP,BSU30150,,,,,
ytcQ,BSU30160,,,,,
ytcP,BSU30170,,,,,
ytbQ,BSU30180,,,,,
bioI,BSU30190,,CYP107H,,,
bioB,BSU30200,,,,,
bioD,BSU30210,,,,,
bioF,BSU30220,,,,,
bioK,BSU30230,,bioA,,,
bioW,BSU30240,,,,,
ytaP,BSU30250,,,,,
melR,BSU30260,,msmR,,,
melE,BSU30270,,msmE,,,
melD,BSU30280,,amyD,,,
melC,BSU30290,,amyC,,,
melA,BSU30300,,,,,
ytwF,BSU30310,,,,,
leuS,BSU30320,,,,,
ytvB,BSU30330,,,,,
pfyP,BSU30340,,ytvA,,,
yttB,BSU30350,,,,,
yttA,BSU30360,,,,,
bceB,BSU30370,,barD,ytsD,,
bceA,BSU30380,,barC,ytsC,,
bceS,BSU30390,,barB,ytsB,,
bceR,BSU30400,,barA,ytsA,,
ytrF,BSU30410,,,,,
ytrE,BSU30420,,,,,
ytrD,BSU30430,,,,,
ytrC,BSU30440,,,,,
ytrB,BSU30450,,,,,
ytrA,BSU30460,,,,,
ytzC,BSU30470,,,,,
ytqA,BSU30480,,,,,
ytqB,BSU30490,,,,,
ytpB,BSU30500,,,,,
ytpA,BSU30510,,,,,
ytoA,BSU30520,,,,,
ytnA,BSU30530,,,,,
asnB,BSU30540,,asn,,,
metK,BSU30550,,metE,,,
pckA,BSU30560,,ppc,,,
ytmB,BSU30570,,,,,
ytmA,BSU30580,,,,,
ytlA,BSU30595,,ytlB,,,
ytlC,BSU30610,,,,,
ytlD,BSU30620,,,,,
ytkD,BSU30630,,mutTA,,,
ytkC,BSU30640,,,,,
dps,BSU30650,,ytkB,,,
ytzI,BSU30659,,,,,
ytkA,BSU30660,,yznA,,,
luxS,BSU30670,,ytjB,,,
ytjA,BSU30680,,,,,
ytiB,BSU30690,,,,,
rpmE2,BSU30700,,ytiA,,,
ythA,BSU30710,,,,,
ythB,BSU30720,,,,,
ytzL,BSU30739,,,,,
mntD,BSU30740,,ytgD,,,
mntC,BSU30750,,ytgC,,,
mntB,BSU30760,,ytgB,,,
mntA,BSU30770,,ytgA,,,
menC,BSU30780,,ytfD,,,
menE,BSU30790,,,,,
menB,BSU30800,,,,,
menH,BSU30810,,ytfB,ytxM,,
menD,BSU30820,,,,,
menF,BSU30830,,icsM,,,
yteA,BSU30840,,yzwB,,,
ytdA,BSU30850,,yzwA,,,
ytcA,BSU30860,,,,,
ytcB,BSU30870,,,,,
ytcC,BSU30880,,,,,
ytxO,BSU30890,,ytbB,,,
cotS,BSU30900,,,,,
cotSA,BSU30910,,ytbA,ytxN,,
cotI,BSU30920,,ytaA,,,
ytaB,BSU30930,,,,,
glgP,BSU30940,,,,,
glgA,BSU30950,,,,,
glgD,BSU30960,,,,,
glgC,BSU30970,,,,,
glgB,BSU30980,,,,,
thiT,BSU30990,,yuaJ,,,
yuaI,BSU31000,,,,,
yuaG,BSU31010,,yuaH,,,
yuaF,BSU31020,,,,,
yuaE,BSU31030,,,,,
yuaD,BSU31040,,,,,
gbsB,BSU31050,,,,,
gbsA,BSU31060,,,,,
gbsR,BSU31070,,yuaC,,,
bslA,BSU31080,,yuaB,,,
ktrA,BSU31090,,yuaA,,,
ktrB,BSU31100,,yubG,,,
yubF,BSU31110,,,,,
lytG,BSU31120,,yubE,,,
yubD,BSU31130,,,,,
cdoA,BSU31140,,yubC,,,
uppP,BSU31150,,bacA,upk,yubB,
yubA,BSU31160,,,,,
iolU,BSU31170,,yulF,,,
rhaA,BSU31180,,yulE,,,
rhaM,BSU31190,,yulD,,,
rhaB,BSU31200,,yulC,,,
yulB,BSU31210,,,,,
yuxG,BSU31220,,yulA,,,
tlpB,BSU31230,,,,,
mcpA,BSU31240,,,,,
tlpA,BSU31250,,,,,
mcpB,BSU31260,,,,,
tgl,BSU31270,,yugV,yuxF,,
yuzH,BSU31279,,,,,
yugU,BSU31280,,,,,
yugT,BSU31290,,,,,
yugS,BSU31300,,,,,
yugP,BSU31310,,,,,
yuzI,BSU31319,,,,,
mstX,BSU31321,,,,,
yugO,BSU31322,,,,,
yugN,BSU31330,,,,,
yugM,BSU31340,,,,,
pgi,BSU31350,,yugL,,,
yugK,BSU31360,,,,,
yugJ,BSU31370,,,,,
yuzA,BSU31380,,,,,
yugI,BSU31390,,,,,
yugH,BSU31400,,alaT,,,
yugG,BSU31410,,,,,
yugF,BSU31420,,,,,
yugE,BSU31430,,,,,
patB,BSU31440,,,,,
kinB,BSU31450,,,,,
kapB,BSU31460,,,,,
kapD,BSU31470,,yugB,,,
yuxJ,BSU31480,,yugC,,,
pbpD,BSU31490,,,,,
yuxK,BSU31500,,yugD,,,
yufK,BSU31510,,,,,
malK,BSU31520,,yufL,,,
malR,BSU31530,,yufM,,,
nupN,BSU31540,,yufN,,,
nupO,BSU31550,,yufO,,,
nupP,BSU31560,,yufP,,,
nupQ,BSU31570,,yufQ,,,
maeN,BSU31580,,yufR,,,
yufS,BSU31590,,,,,
mrpA,BSU31600,,ntrA,shaA,yufT,
mrpB,BSU31610,,yufU,,,
mrpC,BSU31620,,yufV,,,
mrpD,BSU31630,,yufD,,,
mrpE,BSU31640,,,,,
mrpF,BSU31650,,yufC,,,
mrpG,BSU31660,,yufB,,,
yuxO,BSU31670,,comA2,comAB,,
comA,BSU31680,,comA1,comAA,,
comP,BSU31690,,,,,
comX,BSU31700,,,,,
comQ,BSU31710,,,,,
degQ,BSU31720,,amyB,sacQ,,
yuzC,BSU31730,,,,,
yuxH,BSU31740,,yufA,,,
pncB,BSU31750,,yueK,,,
pncA,BSU31760,,yueJ,,,
yueI,BSU31770,,,,,
yueH,BSU31780,,,,,
yueG,BSU31790,,,,,
yueF,BSU31800,,,,,
yuzE,BSU31810,,,,,
yuzF,BSU31820,,,,,
yueE,BSU31830,,,,,
yueD,BSU31840,,,,,
yueC,BSU31850,,,,,
yueB,BSU31860,,,,,
yukB,BSU31875,,yukA,yukBA,,
yukC,BSU31890,,,,,
yukD,BSU31900,,,,,
yukE,BSU31910,,,,,
adeR,BSU31920,,yukF,,,
ald,BSU31930,,spoVN,,,
yukJ,BSU31945,,yukI,yuxI,,
ybdZ,BSU31959,,,,,
dhbF,BSU31960,,,,,
dhbB,BSU31970,,,,,
dhbE,BSU31980,,entE,,,
dhbC,BSU31990,,,,,
dhbA,BSU32000,,entA,,,
besA,BSU32010,,yuiI,,,
yuiH,BSU32020,,,,,
